,lifetime_gross
543,31181347
544,31181347
545,7820688
546,32063435
547,25842377
548,6110979
549,3430583
550,7770731
551,6405918
552,126680884
553,36300000
554,32868943
555,11585483
556,24107867
557,20915465
558,7727256
559,16487349
560,1319521
561,14815317
562,56505065
563,6971777
564,12281551
565,901668
566,13670688
567,44159
568,73956
569,4569019
570,1596687
571,621392
572,1038959
573,2019581
574,734634
575,12267790
576,308368
577,1359736
578,52125282
579,16820893
580,3062530
581,1400591
582,46576136
583,285761243
584,217631306
585,217631306
586,217631306
587,217631306
588,217350219
589,217350219
590,205881154
591,184208848
592,251188924
593,251188924
594,130742922
595,184925486
596,218967620
597,218967620
598,218967620
599,218967620
600,218967620
601,218967620
602,218967620
603,218967620
604,84254167
605,3684305
606,84254167
607,3684305
608,84254167
609,3684305
610,84254167
611,3684305
612,178406268
613,638641
614,35200
615,527034
616,46151454
617,13940383
618,7271
619,24611975
620,32772492
621,5656388
622,11242660
623,11242660
624,11242660
625,11242660
626,11242660
627,11242660
628,44231
629,44231
630,44231
631,1032180
632,1141556
633,4422380
634,14286
635,34767836
636,459749
637,56116183
638,290978
639,8620678
640,228800
641,148121
642,10125417
643,87433
644,30356793
645,4939939
646,722182
647,950237
648,59031057
649,180981856
650,3486957
651,31387164
652,12636
653,12636
654,12636
655,12636
656,28946127
657,20831000
658,20831000
659,20831000
660,20831000
661,2654308
662,2104439
663,171082
664,171082
665,171082
666,13128
667,6235
668,90418342
669,2128395
670,622503
671,24670346
672,11606005
673,669625
674,11606005
675,669625
676,11606005
677,669625
678,11606005
679,669625
680,11606005
681,669625
682,11606005
683,669625
684,10082005
685,5107669
686,5107669
687,5107669
688,14818176
689,14818176
690,14818176
691,14818176
692,16649768
693,16649768
694,87626
695,87626
696,3124440
697,63174
698,4821759
699,516349
700,516349
701,516349
702,21686547
703,35489
704,10163782
705,11526099
706,34861807
707,74151346
708,9255027
709,20080020
710,20080020
711,19710
712,1037847
713,1320043
714,2150
715,2150
716,21075014
717,24819936
718,8008255
719,5939449
720,5682429
721,5009305
722,3718087
723,134069511
724,197322
725,241721524
726,241721524
727,3793614
728,9318
729,9318
730,9318
731,9318
732,515905
733,515905
734,26960191
735,8000
736,2491989
737,14063331
738,9440272
739,2101087
740,14528
741,62186
742,152972
743,152972
744,152972
745,17323326
746,17323326
747,17323326
748,17323326
749,17323326
750,33109743
751,7682
752,941414
753,58620973
754,58620973
755,58620973
756,1875527
757,559771
758,16491080
759,3525125
760,306169268
761,4722310
762,18626419
763,18626419
764,100138851
765,100138851
766,100138851
767,100138851
768,60240295
769,25023434
770,101295562
771,22480
772,18112
773,33023469
774,33023469
775,33023469
776,16759216
777,12408986
778,26570048
779,104636382
780,1287480
781,9538948
782,108766007
783,665450
784,859059
785,11829959
786,17193231
787,18937262
788,8315693
789,21440752
790,15094530
791,4619014
792,105489203
793,692400
794,692400
795,136492681
796,136492681
797,21302121
798,1383553
799,269300
800,269300
801,21226204
802,21226204
803,33459416
804,33459416
805,22231658
806,22231658
807,22231658
808,22231658
809,22231658
810,17917287
811,7032782
812,5781045
813,263192
814,12658486
815,284692
816,3011195
817,53854588
818,134966411
819,155239
820,3802260
821,3802260
822,3325651
823,1356329
824,19745922
825,82029
826,44480039
827,44480039
828,33956608
829,27663982
830,27663982
831,26491793
832,3622979
833,102350
834,4357406
835,21576954
836,21576954
837,18281
838,15116634
839,588621
840,403701
841,807775
842,1826108
843,7311013
844,36764313
845,36764313
846,4108411
847,72000000
848,22342633
849,22342633
850,198676459
851,20123620
852,1585634
853,58588800
854,63463
855,89325780
856,89325780
857,177909
858,177909
859,5835247
860,5835247
861,40374
862,40374
863,5303931
864,20819
865,25143818
866,660313
867,97848
868,14502483
869,11092559
870,8543587
871,195170
872,12008376
873,18115927
874,18115927
875,36461139
876,11132210
877,49620
878,106791
879,17380126
880,20351264
881,22955097
882,14551359
883,36853000
884,20000000
885,20000000
886,51264000
887,51264000
888,38229000
889,66308518
890,66308518
891,41833324
892,61123569
893,61123569
894,40356000
895,68856263
896,165493908
897,102272727
898,39588000
899,39588000
900,63456988
901,295493
902,295493
903,158671368
904,83008852
905,32100816
906,272542
907,106606
908,13417292
909,25857416
910,4189233
911,2021348
912,61875
913,1548120
914,33447612
915,38619405
916,1408575
917,749741
918,22891
919,5754249
920,2312463
921,409144
922,9759200
923,450060
924,46351345
925,4555020
926,4555020
927,53315285
928,21508
929,57890460
930,121548
931,1065665
932,1065665
933,1065665
934,18344729
935,62493712
936,28215453
937,12562
938,65196
939,63954274
940,63954274
941,2832029
942,138530565
943,30218387
944,117727224
945,34416893
946,62548947
947,10725228
948,30036000
949,82670733
950,179800601
951,1910
952,3652
953,1433210
954,365284
955,12844057
956,1227324
957,1227324
958,230049
959,416401
960,416401
961,38268
962,15134
963,134485
964,119285432
965,13878334
966,54461047
967,54461047
968,21378361
969,21378361
970,21378361
971,25244626
972,17985893
973,4940939
974,3940542
975,3940542
976,69847348
977,37092
978,2068490
979,2789985
980,3704433
981,58132
982,58132
983,58132
984,58132
985,16209459
986,16209459
987,7138523
988,1055525
989,269823
990,4479470
991,12397210
992,1794187
993,1999955
994,13200170
995,13200170
996,13446769
997,4313473
998,78676425
999,4532791
1000,4814619
1001,11738022
1002,1209846
1003,4087361
1004,15012935
1005,3779620
1006,108981275
1007,44364244
1008,290475067
1009,30857814
1010,248159971
1011,9929135
1012,85160248
1013,25100000
1014,44824144
1015,26589355
1016,83471511
1017,309306177
1018,3210139
1019,618173
1020,80931801
1021,11502976
1022,3580882
1023,4135750
1024,32000000
1025,32000000
1026,57229890
1027,46357676
1028,10161099
1029,10161099
1030,51973029
1031,5321508
1032,23383987
1033,38251425
1034,21192102
1035,11487676
1036,156000000
1037,356122
1038,356122
1039,5895761
1040,38371200
1041,26828365
1042,39946780
1043,5080409
1044,95860116
1045,104945305
1046,2247465
1047,5017971
1048,27200000
1049,29200000
1050,44360123
1051,52287414
1052,48979328
1053,70906973
1054,101157447
1055,101157447
1056,65955630
1057,65955630
1058,210609762
1059,82418501
1060,61749765
1061,1435668
1062,553171
1063,5900000
1064,5820020
1065,5820020
1066,86273333
1067,2015810
1068,2603061
1069,76408097
1070,1108462
1071,9709597
1072,74000000
1073,74000000
1074,4736202
1075,1723872
1076,18553948
1077,197171806
1078,30177511
1079,52767889
1080,10006806
1081,20966644
1082,12952019
1083,22244207
1084,34700291
1085,8345266
1086,64431625
1087,102308889
1088,2181987
1089,829625
1090,92823546
1091,2684
1092,220198
1093,926954
1094,107874
1095,16299
1096,16299
1097,26011
1098,4535
1099,30565292
1100,6333135
1101,12534817
1102,86432000
1103,86432000
1104,12947763
1105,12947763
1106,18753438
1107,8247943
1108,8247943
1109,9188150
1110,25792310
1111,79091969
1112,79091969
1113,33800000
1114,33800000
1115,33800000
1116,33800000
1117,7000000
1118,7000000
1119,25504513
1120,25504513
1121,60922980
1122,60922980
1123,1094668
1124,339379
1125,41083864
1126,3803298
1127,1179002
1128,1179002
1129,92027888
1130,35892330
1131,24444121
1132,60592389
1133,48102795
1134,10493
1135,1979768
1136,7343114
1137,144880014
1138,82258456
1139,74888996
1140,52210049
1141,78912963
1142,76471046
1143,109713132
1144,162831698
1145,45661556
1146,44143410
1147,188755690
1148,15171476
1149,46044396
1150,31638
1151,83563139
1152,260000000
1153,81766007
1154,45517055
1155,22313201
1156,37771017
1157,285112
1158,153952592
1159,22847564
1160,25411386
1161,51432691
1162,14481231
1163,12803305
1164,13323144
1165,9889670
1166,63118386
1167,103046663
1168,75505856
1169,75505856
1170,75505856
1171,95318203
1172,95318203
1173,95318203
1174,12767815
1175,671437
1176,375757
1177,50047179
1178,3692836
1179,25804707
1180,9381260
1181,11538235
1182,51970690
1183,51970690
1184,51970690
1185,31480418
1186,32000301
1187,32000301
1188,322975
1189,67127760
1190,4073582
1191,9745803
1192,589304
1193,903840
1194,4529843
1195,5770254
1196,5571205
1197,2923982
1198,790078
1199,11486880
1200,656747
1201,165845
1202,3600616
1203,29481428
1204,387069
1205,50068310
1206,18301610
1207,36400360
1208,16574176
1209,3675201
1210,13130349
1211,41909762
1212,20050376
1213,1608277
1214,532654
1215,1568258
1216,59927618
1217,41230799
1218,41230799
1219,12479335
1220,61363304
1221,61363304
1222,2372903
1223,712095
1224,712095
1225,54580300
1226,54580300
1227,2099677
1228,181410615
1229,35281794
1230,42868348
1231,3566637
1232,7246735
1233,294212
1234,8363899
1235,12816367
1236,12816367
1237,12816367
1238,12816367
1239,11438337
1240,5936344
1241,65885767
1242,28084357
1243,57252
1244,329211
1245,3602884
1246,265732
1247,2007100
1248,534010
1249,292577
1250,52632
1251,686704
1252,1100788
1253,49323468
1254,49323468
1255,49323468
1256,838368
1257,53883989
1258,50159144
1259,956919
1260,956919
1261,548561
1262,79727
1263,109261
1264,6524620
1265,63820180
1266,53662
1267,194201
1268,64161
1269,7575028
1270,2977807
1271,9499091
1272,9499091
1273,127923
1274,34673095
1275,2576331
1276,215292
1277,229086679
1278,1300377
1279,10580
1280,1007822
1281,44722
1282,44722
1283,247202
1284,13602831
1285,10113400
1286,10113400
1287,101117573
1288,2372744
1289,48608066
1290,44052
1291,543708
1292,32212
1293,99112101
1294,99112101
1295,99112101
1296,99112101
1297,46362
1298,127120029
1299,1474628
1300,112276146
1301,51266
1302,532629
1303,8225
1304,25000
1305,250690539
1306,29022252
1307,7342923
1308,8345056
1309,100920329
1310,604523
1311,48169156
1312,39565475
1313,39565475
1314,105263257
1315,44862187
1316,26673242
1317,54870175
1318,23144499
1319,31407873
1320,2804473
1321,3446539
1322,2416734
1323,75982834
1324,13806137
1325,1710972
1326,1710972
1327,1710972
1328,7281450
1329,23499102
1330,25480490
1331,40922619
1332,14515490
1333,6112613
1334,172956409
1335,122012643
1336,6401336
1337,661465
1338,63856929
1339,27873386
1340,27873386
1341,41263140
1342,64616940
1343,37957682
1344,60527873
1345,43700855
1346,15738769
1347,7936780
1348,48323648
1349,16228448
1350,16228448
1351,40158
1352,3392080
1353,3392080
1354,3392080
1355,332597
1356,332597
1357,3330352
1358,9161691
1359,8038061
1360,12021272
1361,14009368
1362,45950122
1363,68485
1364,72586134
1365,60944660
1366,4166918
1367,626057
1368,1851761
1369,12532777
1370,5624282
1371,397020
1372,4366722
1373,375634
1374,14842388
1375,6492660
1376,5906773
1377,85297000
1378,45319423
1379,13330
1380,10541523
1381,2642983
1382,1080192
1383,334319
1384,572433
1385,26400640
